title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,year,month,day
Homefront: The Revolution,PS4,Shooter,Deep Silver,8,0.5,0.11,0.04,0.29,0.07,2016-05-17,2016,5,17
Attack on Titan,PS4,Action,Tecmo Koei,8,0.5,0.08,0.12,0.24,0.06,2017-01-01,2017,1,1
Lost: Via Domus,PS3,Action,Ubisoft,7,0.5,0.19,0.0,0.23,0.09,2008-02-26,2008,2,26
Midnight Magic,2600,Action,Atari,5,0.5,0.47,0.0,0.03,0.01,1984-01-01,1984,1,1
Steel Diver,3DS,Action,Nintendo,5,0.5,0.31,0.05,0.1,0.04,2011-03-27,2011,3,27
Gauntlet,2600,Action,Answer Software,6,0.5,0.46,0.0,0.03,0.01,1983-01-01,1983,1,1
Rock Band Unplugged,PSP,Misc,MTV Games,8,0.5,0.25,0.0,0.15,0.11,2009-06-09,2009,6,9
Blue's Clues: Blue's Big Musical,PS,Misc,THQ,7,0.5,0.28,0.0,0.19,0.03,2001-08-24,2001,8,24
RealSports Tennis,2600,Sports,Atari,5,0.5,0.46,0.0,0.03,0.01,1983-01-01,1983,1,1
Madden NFL 07,Wii,Sports,EA Sports,8,0.5,0.46,0.0,0.0,0.04,2006-11-14,2006,11,14
NHL 09,X360,Sports,Electronic Arts,9,0.5,0.45,0.0,0.01,0.04,2008-09-09,2008,9,9
Bakugan Battle Brawlers: Defenders of the Core,DS,Action,Activision,7,0.5,0.43,0.02,0.02,0.03,2010-11-02,2010,11,2
Shrek SuperSlam,PS2,Action,Activision,7,0.5,0.24,0.0,0.19,0.06,2005-10-25,2005,10,25
Monster Hunter,PS2,Role-Playing,Capcom,7,0.5,0.11,0.28,0.08,0.03,2004-09-21,2004,9,21
Rugrats in Paris: The Movie,N64,Action,THQ,9,0.5,0.4,0.0,0.09,0.01,2000-11-12,2000,11,12
Pokémon Art Academy,3DS,Misc,Nintendo,7,0.5,0.18,0.17,0.12,0.03,2014-10-24,2014,10,24
PoPoLoCrois Monogatari,PS,Role-Playing,Sony Computer Entertainment,7,0.5,0.0,0.46,0.0,0.03,1996-07-12,1996,7,12
Dragon's Crown,PS3,Role-Playing,Atlus,7,0.5,0.27,0.17,0.04,0.02,2013-08-06,2013,8,6
Monster Hunter Portable 3rd HD Ver.,PS3,Role-Playing,Capcom,7,0.5,0.0,0.5,0.0,0.0,2011-08-25,2011,8,25
Tactics Ogre: The Knight of Lodis,GBA,Role-Playing,Atlus,8,0.5,0.13,0.31,0.05,0.01,2002-05-11,2002,5,11
RPG Maker,PS,Role-Playing,Agetec,7,0.5,0.11,0.29,0.07,0.03,2000-09-19,2000,9,19
Major League Baseball 2K12,X360,Sports,Take-Two Interactive,8,0.5,0.47,0.0,0.0,0.03,2012-03-06,2012,3,6
Tiger Woods PGA Tour 07,PS3,Sports,EA Sports,8,0.5,0.31,0.0,0.12,0.07,2006-11-14,2006,11,14
Dragon Age: Origins,PC,Role-Playing,Electronic Arts,9,0.5,0.0,0.0,0.46,0.04,2009-11-03,2009,11,3
Burnout Revenge,X360,Racing,Electronic Arts,8,0.5,0.42,0.0,0.04,0.04,2006-03-07,2006,3,7
SplashDown: Rides Gone Wild,PS2,Racing,THQ,7,0.5,0.24,0.0,0.19,0.06,2003-08-05,2003,8,5
Sonic & Sega All-Stars Racing Transformed,PS3,Racing,Sega,6,0.5,0.08,0.02,0.33,0.07,2012-11-18,2012,11,18
Major League Baseball 2K13,X360,Sports,2K Sports,8,0.5,0.45,0.0,0.0,0.05,2013-03-05,2013,3,5
Picross DS,DS,Puzzle,Nintendo,8,0.5,0.17,0.3,0.02,0.02,2007-07-30,2007,7,30
Picross 3D,DS,Puzzle,Nintendo,8,0.5,0.28,0.16,0.03,0.03,2010-05-03,2010,5,3
Madden NFL 11,PS2,Sports,EA Sports,6,0.5,0.41,0.0,0.02,0.07,2010-08-10,2010,8,10
Fantastic 4,PS2,Action,Activision,5,0.5,0.41,0.0,0.01,0.07,2005-06-27,2005,6,27
Dance Dance Revolution Universe 2,X360,Simulation,Konami,8,0.5,0.46,0.0,0.0,0.04,2007-12-04,2007,12,4
Bully: Scholarship Edition,Wii,Action,Rockstar Games,8,0.5,0.17,0.0,0.28,0.06,2008-03-04,2008,3,4
Super Famista 5,SNES,Sports,Namco,8,0.5,0.0,0.5,0.0,0.0,1996-02-29,1996,2,29
Pro Evolution Soccer 2019,PS4,Sports,Konami,8,0.5,0.06,0.15,0.23,0.05,2018-08-28,2018,8,28
Lego Star Wars: The Force Awakens,XOne,Action-Adventure,Warner Bros. Interactive Entertainment,8,0.5,0.24,0.0,0.22,0.04,2016-06-28,2016,6,28
FIFA 14,PSV,Sports,EA Sports,9,0.5,0.08,0.01,0.3,0.11,2013-09-24,2013,9,24
Tony Hawk's Underground 2,GC,Sports,Activision,8,0.5,0.38,0.0,0.1,0.01,2004-10-04,2004,10,4
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,Adventure,THQ,6,0.5,0.36,0.0,0.13,0.01,2004-09-13,2004,9,13
Rooms: The Main Building,DS,Adventure,Hudson Soft,7,0.5,0.1,0.01,0.35,0.05,2010-03-23,2010,3,23
Avatar: The Last Airbender,GC,Adventure,THQ,5,0.5,0.39,0.0,0.1,0.01,2006-10-10,2006,10,10
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,Adventure,THQ,7,0.5,0.24,0.0,0.19,0.06,2004-09-13,2004,9,13
Alice: Madness Returns,X360,Adventure,Electronic Arts,6,0.5,0.27,0.04,0.15,0.04,2011-06-14,2011,6,14
Ratatouille,Wii,Platform,THQ,6,0.5,0.43,0.0,0.03,0.04,2007-06-26,2007,6,26
Looney Tunes: Back in Action,PS2,Platform,Warner Bros. Interactive,7,0.5,0.25,0.0,0.19,0.06,2003-11-19,2003,11,19
Crash: Mind Over Mutant,PS2,Platform,Activision,4,0.5,0.25,0.0,0.19,0.06,2008-10-07,2008,10,7
Epic Mickey: Power of Illusion,3DS,Platform,Disney Interactive Studios,6,0.5,0.36,0.04,0.05,0.04,2012-11-18,2012,11,18
Nicktoons: Attack of the Toybots,PS2,Platform,THQ,7,0.5,0.24,0.0,0.19,0.06,2007-10-23,2007,10,23
Sega Bass Fishing,Wii,Sports,Sega,8,0.5,0.45,0.0,0.01,0.04,2008-02-26,2008,2,26
Pro Evolution Soccer 2012,X360,Sports,Konami,7,0.5,0.1,0.0,0.34,0.06,2011-09-27,2011,9,27
Bases Loaded '96: Double Header,PS,Sports,Jaleco,7,0.5,0.28,0.0,0.19,0.03,1995-12-01,1995,12,1
NBA Street Homecourt,X360,Sports,EA Sports,8,0.5,0.45,0.0,0.01,0.04,2007-02-20,2007,2,20
Hometown Story,3DS,Simulation,Natsume,5,0.5,0.29,0.04,0.13,0.04,2013-10-22,2013,10,22
Dead or Alive Ultimate,XB,Fighting,Tecmo,8,0.5,0.3,0.08,0.1,0.02,2004-10-26,2004,10,26
Midnight Club II,XB,Racing,Rockstar Games,6,0.5,0.42,0.0,0.06,0.02,2003-06-03,2003,6,3
The Mummy Returns,PS2,Action,Universal Interactive,7,0.5,0.25,0.0,0.19,0.06,2001-10-03,2001,10,3
Transformers: War for Cybertron,PS3,Action,Activision,7,0.5,0.24,0.0,0.18,0.07,2010-06-22,2010,6,22
Hitman: Blood Money,PS2,Action,Eidos Interactive,8,0.5,0.25,0.0,0.19,0.06,2006-05-30,2006,5,30
WWE SmackDown vs. RAW 2007,X360,Fighting,THQ,8,0.5,0.44,0.0,0.03,0.04,2006-11-14,2006,11,14
Raiders of the Lost Ark,2600,Action,Atari,5,0.5,0.46,0.0,0.03,0.01,1982-01-01,1982,1,1
PlayStation All-Stars Battle Royale,PSV,Fighting,Sony Computer Entertainment,9,0.5,0.21,0.01,0.16,0.12,2012-11-20,2012,11,20
Super Robot Taisen MX,PS2,Strategy,Banpresto,7,0.5,0.0,0.5,0.0,0.0,2004-05-27,2004,5,27
Super Robot Taisen Z,PS2,Strategy,Namco Bandai,7,0.5,0.0,0.5,0.0,0.0,2008-09-25,2008,9,25
R.U.S.E.,PS3,Strategy,Ubisoft,8,0.5,0.18,0.02,0.22,0.08,2010-09-07,2010,9,7
Paws & Claws: Dogs & Cats Best Friends,DS,Simulation,THQ,7,0.5,0.46,0.0,0.01,0.04,2007-10-03,2007,10,3
Super Monkey Ball 3D,3DS,Action,Sega,5,0.5,0.26,0.05,0.15,0.04,2011-03-27,2011,3,27
Spider-Man 2,DS,Action,Activision,6,0.5,0.41,0.03,0.02,0.04,2004-11-16,2004,11,16
Tomb Raider: Anniversary,PS2,Action,Eidos Interactive,6,0.5,0.41,0.0,0.02,0.07,2007-06-05,2007,6,5
Star Wars: Jedi Starfighter,PS2,Simulation,LucasArts,7,0.5,0.24,0.0,0.19,0.06,2002-03-10,2002,3,10
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,Action,Square Enix,7,0.5,0.0,0.5,0.0,0.0,2015-02-26,2015,2,26
Disney Sing It,PS2,Misc,Disney Interactive Studios,7,0.5,0.25,0.0,0.19,0.06,2008-10-21,2008,10,21
Activision Anthology,PS2,Misc,Activision,8,0.5,0.25,0.0,0.19,0.06,2002-11-25,2002,11,25
Metal Gear Rising: Revengeance,X360,Action,Konami Digital Entertainment,9,0.5,0.3,0.0,0.15,0.05,2013-02-19,2013,2,19
Mad Max (2013),XOne,Action,Warner Bros. Interactive Entertainment,8,0.5,0.29,0.0,0.16,0.05,2015-09-01,2015,9,1
GoldenEye: Rogue Agent,XB,Shooter,Electronic Arts,5,0.49,0.34,0.0,0.13,0.02,2004-11-22,2004,11,22
Fire Emblem: Radiant Dawn,Wii,Strategy,Nintendo,7,0.49,0.27,0.17,0.03,0.03,2007-11-05,2007,11,5
The Evil Within,X360,Misc,Bethesda Softworks,5,0.49,0.28,0.01,0.16,0.04,2014-10-14,2014,10,14
Taiko no Tatsujin: Appare Sandaime,PS2,Misc,Namco,7,0.49,0.0,0.49,0.0,0.0,2003-10-30,2003,10,30
Kane & Lynch 2: Dog Days,X360,Shooter,Square Enix,6,0.49,0.2,0.01,0.23,0.05,2010-08-17,2010,8,17
Die Hard Trilogy 2: Viva Las Vegas,PS,Action,Fox Interactive,7,0.49,0.27,0.0,0.18,0.03,2000-02-29,2000,2,29
Hyrule Warriors Legends,3DS,Action,Nintendo,7,0.49,0.17,0.12,0.16,0.03,2016-03-25,2016,3,25
SimCity 2000,SNES,Simulation,Black Pearl,3,0.49,0.0,0.49,0.0,0.0,1996-11-01,1996,11,1
WipEout Pulse,PS2,Racing,Sony Computer Entertainment,8,0.49,0.0,0.0,0.15,0.33,2009-06-19,2009,6,19
Cars Mater-National Championship,Wii,Racing,THQ,7,0.49,0.46,0.0,0.0,0.04,2007-11-12,2007,11,12
Ace Combat: Assault Horizon,X360,Action,Namco Bandai,7,0.49,0.3,0.03,0.12,0.04,2011-10-11,2011,10,11
The Matrix: Path of Neo,PS2,Action,Atari,6,0.49,0.41,0.0,0.01,0.07,2005-11-07,2005,11,7
Dynasty Warriors: Gundam 2,PS3,Action,Namco Bandai,5,0.49,0.09,0.32,0.07,0.03,2009-04-21,2009,4,21
Dragon Ball Z: Supersonic Warriors 2,DS,Fighting,Atari,7,0.49,0.13,0.32,0.02,0.02,2005-11-20,2005,11,20
Dragon Ball Z: Burst Limit,X360,Fighting,Atari,7,0.49,0.24,0.03,0.18,0.05,2008-06-10,2008,6,10
One Piece: Grand Battle!,PS,Fighting,Atari,7,0.49,0.0,0.46,0.0,0.03,2003-01-01,2003,1,1
J-League Pro Soccer Club wo Tsukurou! 2,SAT,Sports,Sega,8,0.49,0.0,0.49,0.0,0.0,1997-11-20,1997,11,20
Backyard Baseball,PS2,Sports,Atari,7,0.49,0.24,0.0,0.19,0.06,2004-03-23,2004,3,23
Dreamworks Madagascar Kartz,Wii,Racing,Activision,7,0.49,0.29,0.0,0.16,0.05,2009-10-27,2009,10,27
Animal Crossing: Amiibo Festival,WiiU,Party,Nintendo,4,0.49,0.23,0.1,0.12,0.04,2015-11-13,2015,11,13
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,Misc,Hudson Soft,7,0.49,0.0,0.49,0.0,0.0,2001-12-13,2001,12,13
The Price is Right,DS,Misc,Ubisoft,7,0.49,0.46,0.0,0.0,0.04,2008-09-09,2008,9,9
Middle-Earth: Shadow of Mordor,X360,Misc,Warner Bros. Interactive Entertainment,8,0.49,0.28,0.0,0.16,0.04,2014-11-18,2014,11,18
MotorStorm: Apocalypse,PS3,Racing,Sony Computer Entertainment,7,0.49,0.21,0.0,0.2,0.08,2011-05-03,2011,5,3
Pac-Man World 2,XB,Platform,Namco,7,0.49,0.36,0.0,0.11,0.02,2002-10-15,2002,10,15
Asphalt 3D,3DS,Racing,Ubisoft,4,0.49,0.27,0.02,0.16,0.04,2011-03-22,2011,3,22
SpongeBob SquarePants: Creature from the Krusty Krab,Wii,Platform,THQ,7,0.49,0.44,0.0,0.02,0.04,2006-11-13,2006,11,13
SpongeBob SquarePants: Creature from the Krusty Krab,DS,Platform,THQ,7,0.49,0.45,0.0,0.0,0.04,2006-10-18,2006,10,18
F1 2012,X360,Racing,Codemasters,8,0.49,0.1,0.0,0.34,0.05,2012-09-18,2012,9,18
Crazy Taxi,GC,Racing,Acclaim Entertainment,7,0.49,0.36,0.02,0.09,0.01,2001-11-17,2001,11,17
Spy Hunter 2,PS2,Racing,Midway Games,7,0.49,0.24,0.0,0.19,0.06,2003-11-20,2003,11,20
DiRT 4,PS4,Racing,Deep Silver,8,0.49,0.1,0.02,0.3,0.07,2017-06-06,2017,6,6
Babysitting Mama,Wii,Simulation,Majesco,3,0.49,0.33,0.0,0.12,0.04,2010-11-16,2010,11,16
The Sims,GC,Simulation,Electronic Arts,8,0.49,0.35,0.0,0.13,0.01,2003-03-25,2003,3,25
Virtua Tennis 4: World Tour,PSV,Sports,Sega,9,0.49,0.04,0.01,0.34,0.09,2012-02-14,2012,2,14
Watch Dogs,PC,Action-Adventure,Ubisoft,8,0.49,0.19,0.0,0.27,0.04,2014-05-27,2014,5,27
WWE Wrestlemania X8,GC,Fighting,THQ,7,0.49,0.38,0.0,0.1,0.01,2002-06-09,2002,6,9
Boogie,Wii,Misc,Electronic Arts,7,0.49,0.43,0.0,0.03,0.04,2007-08-07,2007,8,7
Scarface: The World is Yours,XB,Adventure,Sierra Entertainment,6,0.49,0.37,0.0,0.11,0.02,2006-10-08,2006,10,8
Alone in the Dark,X360,Adventure,Atari,6,0.49,0.14,0.0,0.3,0.05,2008-06-23,2008,6,23
Barbie Horse Adventures: Wild Horse Rescue,PS2,Sports,Universal Interactive,7,0.49,0.24,0.0,0.19,0.06,2003-11-04,2003,11,4
Mario & Wario,SNES,Puzzle,Nintendo,8,0.49,0.0,0.49,0.0,0.0,1993-08-27,1993,8,27
Power Rangers: Dino Thunder,GBA,Action,THQ,5,0.49,0.35,0.0,0.13,0.01,2004-09-22,2004,9,22
Ice Hockey,2600,Sports,Activision,5,0.49,0.46,0.0,0.03,0.01,1981-01-01,1981,1,1
Story of Seasons: Trio of Towns,3DS,Simulation,Marvelous Interactive,7,0.49,0.19,0.22,0.06,0.03,2017-02-28,2017,2,28
FIFA 13,WiiU,Sports,EA Sports,7,0.49,0.18,0.0,0.28,0.04,2012-11-18,2012,11,18
Mario Golf: World Tour,3DS,Sports,Nintendo,8,0.49,0.14,0.18,0.15,0.03,2014-05-02,2014,5,2
FIFA Soccer 64,N64,Sports,EA Sports,9,0.49,0.16,0.0,0.3,0.03,1997-02-28,1997,2,28
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,Sports,Nintendo,8,0.49,0.1,0.13,0.23,0.03,2016-06-24,2016,6,24
FIFA Soccer 09,DS,Sports,Electronic Arts,8,0.49,0.12,0.0,0.31,0.06,2008-10-14,2008,10,14
Tony Hawk's Underground 2,GBA,Sports,Activision,8,0.49,0.35,0.0,0.13,0.01,2004-10-04,2004,10,4
Tony Hawk's Project 8,X360,Sports,Activision,8,0.49,0.44,0.0,0.02,0.04,2006-11-07,2006,11,7
Medal of Honor,PC,Shooter,Electronic Arts,6,0.49,0.2,0.0,0.23,0.06,2010-10-12,2010,10,12
Sniper: Art of Victory,PC,Shooter,City Interactive,8,0.49,0.0,0.0,0.45,0.03,2008-10-16,2008,10,16
Star Wars Battlefront (2015),PC,Shooter,Electronic Arts,7,0.49,0.13,0.0,0.33,0.04,2015-11-17,2015,11,17
Resident Evil: The Mercenaries 3D,3DS,Shooter,Capcom,6,0.49,0.16,0.13,0.17,0.03,2011-06-28,2011,6,28
Transformers: Revenge of the Fallen,PS2,Action,Activision,3,0.49,0.25,0.0,0.01,0.22,2009-06-23,2009,6,23
Star Wars Battlefront: Elite Squadron,DS,Shooter,LucasArts,5,0.49,0.42,0.0,0.04,0.04,2009-11-03,2009,11,3
Tom Clancy's The Division,PC,Shooter,Ubisoft,8,0.48,0.26,0.0,0.18,0.04,2016-03-08,2016,3,8
Millipede,2600,Shooter,Atari,5,0.48,0.45,0.0,0.03,0.01,1984-01-01,1984,1,1
Wolfenstein: The Old Blood,PS4,Shooter,Bethesda Softworks,8,0.48,0.13,0.02,0.25,0.07,2015-05-05,2015,5,5
NFL Xtreme 2,PS,Sports,989 Studios,7,0.48,0.27,0.0,0.18,0.03,1999-06-30,1999,6,30
Battleborn,PS4,Shooter,2K Games,8,0.48,0.25,0.03,0.12,0.08,2016-05-03,2016,5,3
Dark Sector,X360,Shooter,D3 Publisher,7,0.48,0.22,0.01,0.2,0.05,2008-03-25,2008,3,25
Pinball Hall of Fame: The Williams Collection,Wii,Misc,Crave Entertainment,7,0.48,0.42,0.0,0.03,0.04,2008-02-26,2008,2,26
Shrek the Third,PS2,Action,Activision,7,0.48,0.4,0.0,0.02,0.07,2007-05-15,2007,5,15
Far Cry 2,PC,Shooter,Ubisoft,8,0.48,0.01,0.0,0.45,0.02,2008-10-21,2008,10,21
Zoo Tycoon (2013),XOne,Simulation,Microsoft Studios,8,0.48,0.25,0.0,0.18,0.04,2013-11-22,2013,11,22
Cars 2,X360,Racing,Disney Interactive Studios,7,0.48,0.28,0.0,0.15,0.05,2011-06-21,2011,6,21
Children of Mana,DS,Role-Playing,Nintendo,7,0.48,0.16,0.29,0.01,0.01,2006-11-01,2006,11,1
Lollipop Chainsaw,X360,Action,Warner Bros. Interactive Entertainment,8,0.48,0.31,0.02,0.12,0.04,2012-06-12,2012,6,12
NCAA Football 09,PS2,Sports,EA Sports,6,0.48,0.4,0.0,0.02,0.07,2008-07-15,2008,7,15
Doom 3 BFG Edition,X360,Misc,Bethesda Softworks,6,0.48,0.28,0.0,0.15,0.04,2012-10-16,2012,10,16
Euro Truck Simulator,PC,Simulation,SCS Software,8,0.48,0.0,0.0,0.43,0.04,2013-03-08,2013,3,8
Midnight Club: Street Racing,GBA,Racing,"Destination Software, Inc",6,0.48,0.34,0.0,0.13,0.01,2001-11-14,2001,11,14
Ultimate I Spy,Wii,Adventure,Scholastic Inc.,7,0.48,0.45,0.0,0.0,0.03,2008-10-29,2008,10,29
Steep,XOne,Sports,Ubisoft,8,0.48,0.24,0.0,0.2,0.04,2016-12-02,2016,12,2
Harvest Moon 64,N64,Simulation,Natsume,7,0.48,0.25,0.11,0.06,0.06,1999-11-30,1999,11,30
Need for Speed: Porsche Unleashed,GBA,Racing,"Destination Software, Inc",6,0.48,0.35,0.0,0.13,0.01,2004-03-15,2004,3,15
Vigilante 8: 2nd Offense,PS,Racing,Activision,7,0.48,0.27,0.0,0.18,0.03,1999-10-31,1999,10,31
ECW Hardcore Revolution,PS,Fighting,Acclaim Entertainment,4,0.48,0.27,0.0,0.18,0.03,2000-01-31,2000,1,31
Wu-Tang: Shaolin Style,PS,Fighting,Activision,7,0.48,0.27,0.0,0.18,0.03,1999-10-31,1999,10,31
EA Sports UFC,XOne,Fighting,Electronic Arts,8,0.48,0.3,0.0,0.13,0.04,2014-06-17,2014,6,17
Transformers: Revenge of the Fallen,Wii,Action,Activision,3,0.48,0.24,0.0,0.2,0.05,2009-06-23,2009,6,23
The Saboteur,PS3,Action,Electronic Arts,7,0.48,0.2,0.0,0.21,0.07,2009-12-08,2009,12,8
Go Diego Go! Great Dinosaur Rescue,DS,Action,2K Play,7,0.48,0.43,0.0,0.01,0.03,2008-10-27,2008,10,27
Scrabble 2007 Edition,DS,Puzzle,Ubisoft,7,0.48,0.0,0.0,0.48,0.0,2007-10-04,2007,10,4
Crash of the Titans,DS,Action,Sierra Entertainment,6,0.48,0.42,0.0,0.02,0.04,2007-10-25,2007,10,25
Grand Prix,2600,Racing,Activision,5,0.48,0.45,0.0,0.03,0.0,1982-01-01,1982,1,1
World of Outlaws: Sprint Cars 2002,PS2,Racing,Infogrames,7,0.48,0.23,0.0,0.18,0.06,2002-03-26,2002,3,26
Bratz: The Movie,PS2,Simulation,THQ,7,0.48,0.24,0.0,0.18,0.06,2007-09-25,2007,9,25
Rayman Raving Rabbids: TV Party,DS,Misc,Ubisoft,7,0.48,0.44,0.0,0.01,0.04,2008-11-18,2008,11,18
Sonic Lost World,3DS,Platform,Sega,5,0.48,0.22,0.07,0.15,0.04,2013-10-29,2013,10,29
Friday the 13th: The Game,PS4,Action,Gun Media,8,0.48,0.29,0.03,0.09,0.08,2017-10-13,2017,10,13
Thief,XOne,Action,Square Enix,8,0.48,0.26,0.0,0.17,0.04,2014-02-25,2014,2,25
Jeopardy!,PS2,Misc,Atari,7,0.48,0.24,0.0,0.18,0.06,2003-10-28,2003,10,28
Secret Weapons Over Normandy,PS2,Simulation,LucasArts,7,0.48,0.24,0.0,0.18,0.06,2003-11-18,2003,11,18
Street Fighter X Tekken,X360,Fighting,Capcom,8,0.48,0.32,0.03,0.1,0.04,2012-03-06,2012,3,6
WWE 2K19,XOne,Fighting,2K Sports,8,0.48,0.3,0.0,0.14,0.04,2018-10-09,2018,10,9
Disney Epic Mickey 2: The Power of Two,PS3,Platform,Disney Interactive Studios,5,0.48,0.21,0.0,0.19,0.08,2012-11-18,2012,11,18
You're in the Movies,X360,Misc,Microsoft,5,0.48,0.27,0.0,0.17,0.05,2008-11-17,2008,11,17
Fortune Street,Wii,Misc,Nintendo,7,0.48,0.25,0.17,0.03,0.03,2011-12-05,2011,12,5
Crazy Taxi: Fare Wars,PSP,Racing,Sega,6,0.48,0.1,0.02,0.23,0.13,2007-08-07,2007,8,7
Bass Pro Shops: The Strike,Wii,Sports,XS Games,7,0.48,0.44,0.0,0.0,0.04,2009-09-29,2009,9,29
Tiger Woods PGA Tour 07,X360,Sports,EA Sports,8,0.48,0.44,0.0,0.0,0.04,2006-10-17,2006,10,17
All-Star Baseball 99,N64,Sports,Acclaim Entertainment,9,0.48,0.44,0.0,0.04,0.0,1998-04-30,1998,4,30
Atelier Rorona: Alchemist of Arland,PS3,Role-Playing,NIS America,6,0.48,0.22,0.11,0.1,0.05,2014-06-24,2014,6,24
Yu-Gi-Oh! Forbidden Memories (JP sales),PS,Role-Playing,Konami,6,0.48,0.0,0.45,0.0,0.03,2002-03-20,2002,3,20
Theme Park Roller Coaster,PS2,Strategy,Electronic Arts,7,0.48,0.23,0.0,0.18,0.06,2000-12-04,2000,12,4
Farpoint,PS4,Shooter,Sony Interactive Entertainment,8,0.48,0.0,0.04,0.38,0.06,2017-05-16,2017,5,16
The Legend of the Mystical Ninja,SNES,Adventure,Konami,8,0.48,0.0,0.48,0.0,0.0,1992-02-01,1992,2,1
Destroy All Humans! 2,PS2,Adventure,THQ,7,0.48,0.4,0.0,0.02,0.07,2006-10-17,2006,10,17
The Walking Dead: A Telltale Games Series,PS4,Adventure,Telltale Games,9,0.48,0.12,0.03,0.26,0.07,2014-10-14,2014,10,14
Alice in Wonderland,DS,Adventure,Disney Interactive Studios,7,0.48,0.25,0.0,0.18,0.05,2010-03-02,2010,3,2
Up,PS2,Adventure,THQ,6,0.48,0.19,0.0,0.05,0.24,2009-05-26,2009,5,26
Madagascar: Operation Penguin,GBA,Action,Activision,6,0.48,0.35,0.0,0.13,0.01,2005-11-07,2005,11,7
BioShock: The Collection,XOne,Shooter,2K Games,8,0.48,0.35,0.0,0.08,0.05,2016-09-13,2016,9,13
Tiger Woods PGA Tour 06,XB,Sports,EA Sports,6,0.48,0.35,0.0,0.11,0.02,2005-09-20,2005,9,20
Just Dance 2014,XOne,Music,Ubisoft,7,0.48,0.31,0.0,0.12,0.04,2013-11-22,2013,11,22
FIFA World Cup Germany 2006,X360,Sports,EA Sports,7,0.48,0.19,0.01,0.27,0.0,2006-04-24,2006,4,24
A Way Out,PS4,Action,Electronic Arts,7,0.48,0.23,0.0,0.16,0.08,2018-03-23,2018,3,23
Scene It? Lights Camera Action,X360,Misc,Microsoft Game Studios,8,0.48,0.43,0.0,0.01,0.04,2007-11-06,2007,11,6
Football Manager Handheld 2009,PSP,Sports,Sega,7,0.48,0.0,0.0,0.47,0.02,2008-11-14,2008,11,14
NFL Street 2,XB,Sports,EA Sports BIG,8,0.48,0.36,0.0,0.11,0.02,2004-12-22,2004,12,22
Batman: Arkham Origins Blackgate,PSV,Action-Adventure,Warner Bros. Interactive Entertainment,7,0.48,0.16,0.0,0.21,0.11,2013-10-25,2013,10,25
LEGO Marvel's Avengers,XOne,Action,Warner Bros. Interactive Entertainment,8,0.48,0.26,0.0,0.18,0.04,2016-01-26,2016,1,26
Unreal Tournament III,X360,Shooter,Midway Games,7,0.47,0.25,0.01,0.17,0.05,2008-07-07,2008,7,7
Silent Hill: Shattered Memories,Wii,Adventure,Konami,7,0.47,0.22,0.01,0.19,0.05,2009-12-08,2009,12,8
Shadowrun (2007),X360,Shooter,Microsoft Game Studios,6,0.47,0.41,0.0,0.02,0.04,2007-05-29,2007,5,29
Godzilla: Save the Earth,PS2,Fighting,Atari,7,0.47,0.23,0.0,0.18,0.06,2004-11-02,2004,11,2
Dark Sector,PS3,Shooter,D3 Publisher,7,0.47,0.23,0.01,0.16,0.07,2008-03-25,2008,3,25
F.E.A.R. 2: Project Origin,PS3,Shooter,Warner Bros. Interactive,8,0.47,0.19,0.01,0.2,0.08,2009-02-10,2009,2,10
Petz Sports,Wii,Simulation,Ubisoft,5,0.47,0.42,0.0,0.01,0.04,2008-11-04,2008,11,4
Dance Dance Revolution: Mario Mix,GC,Simulation,Nintendo,7,0.47,0.36,0.0,0.09,0.01,2005-10-24,2005,10,24
Farming Simulator 19,PS4,Simulation,Focus Home Interactive,8,0.47,0.13,0.0,0.26,0.07,2018-11-20,2018,11,20
Dead Space Extraction,Wii,Shooter,Electronic Arts,8,0.47,0.32,0.01,0.1,0.04,2009-09-28,2009,9,28
Doom 64,N64,Shooter,Midway Games,7,0.47,0.38,0.0,0.08,0.01,1997-03-31,1997,3,31
World Soccer Winning Eleven 8: Liveware Evolution,PS2,Sports,Konami,7,0.47,0.0,0.47,0.0,0.0,2005-03-24,2005,3,24
Downhill Domination,PS2,Racing,Sony Computer Entertainment,7,0.47,0.23,0.0,0.18,0.06,2003-07-23,2003,7,23
MySims Racing,Wii,Racing,Electronic Arts,7,0.47,0.19,0.0,0.23,0.05,2009-06-08,2009,6,8
Deadpool,PS3,Action,Activision,7,0.47,0.23,0.0,0.16,0.08,2013-06-25,2013,6,25
Kong: The 8th Wonder of the World,GBA,Action,Ubisoft,6,0.47,0.33,0.0,0.12,0.01,2005-11-21,2005,11,21
X-Men: Next Dimension,PS2,Fighting,Activision,7,0.47,0.23,0.0,0.18,0.06,2002-10-15,2002,10,15
Dragon Age Origins: Awakening,X360,Role-Playing,Electronic Arts,8,0.47,0.33,0.0,0.1,0.04,2010-03-16,2010,3,16
Quest 64,N64,Role-Playing,THQ,5,0.47,0.38,0.0,0.08,0.01,1998-06-11,1998,6,11
