title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,year,month,day
Final Fantasy XIII,PS3,Role-Playing,Square Enix,8,5.35,1.75,1.87,1.23,0.51,2010-03-09,2010,3,9
Assassin's Creed III,X360,Action-Adventure,Ubisoft,7,5.31,3.13,0.03,1.71,0.45,2012-10-30,2012,10,30
Assassin's Creed II,X360,Action,Ubisoft,9,5.3,3.14,0.08,1.55,0.52,2009-11-17,2009,11,17
Tomb Raider II,PS,Adventure,Eidos Interactive,7,5.24,2.3,0.2,2.46,0.28,1997-10-31,1997,10,31
Madden NFL 2004,PS2,Sports,EA Sports,9,5.23,4.26,0.01,0.26,0.71,2003-08-12,2003,8,12
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,8,5.22,3.25,0.01,1.49,0.48,2014-11-04,2014,11,4
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,5,5.13,1.98,0.13,2.23,0.8,2003-11-11,2003,11,11
Battlefield 1,XOne,Shooter,Electronic Arts,9,5.13,3.37,0.02,1.26,0.48,2016-10-21,2016,10,21
Microsoft Flight Simulator,PC,Simulation,Microsoft,7,5.12,3.22,0.0,1.69,0.2,1996-10-31,1996,10,31
Guitar Hero II,PS2,Misc,RedOctane,9,5.12,3.81,0.0,0.63,0.68,2006-11-07,2006,11,7
FIFA 13,X360,Sports,EA Sports,7,5.11,1.1,0.03,3.49,0.5,2012-09-25,2012,9,25
Mario & Sonic at the Olympic Games,DS,Sports,Sega,7,5.1,1.63,0.44,2.46,0.57,2008-01-22,2008,1,22
Fable III,X360,Role-Playing,Microsoft Game Studios,7,5.1,3.59,0.05,1.09,0.37,2010-10-26,2010,10,26
Resident Evil 5,PS3,Action,Capcom,8,5.1,1.96,1.08,1.42,0.64,2009-03-13,2009,3,13
FIFA Soccer 11,PS3,Sports,EA Sports,8,5.08,0.61,0.06,3.28,1.12,2010-09-28,2010,9,28
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,8,5.08,1.7,0.16,2.03,1.19,2006-10-31,2006,10,31
Final Fantasy XV,PS4,Role-Playing,Square Enix,8,5.07,1.81,1.05,1.53,0.68,2016-11-29,2016,11,29
Fallout 4,XOne,Role-Playing,Bethesda Softworks,8,5.03,2.94,0.02,1.62,0.45,2015-11-10,2015,11,10
Tony Hawk's Pro Skater,PS,Sports,Activision,9,5.02,3.42,0.02,1.38,0.2,1999-08-31,1999,8,31
Warzone 2100,PS,Strategy,Eidos Interactive,7,5.01,2.79,0.0,1.89,0.33,1999-05-31,1999,5,31
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,8,4.98,3.49,0.01,0.01,1.48,2007-10-28,2007,10,28
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,8,4.97,2.32,0.12,1.73,0.8,2007-11-16,2007,11,16
Fallout 3,X360,Role-Playing,Bethesda Softworks,9,4.96,3.41,0.09,0.99,0.46,2008-10-28,2008,10,28
Madden NFL 06,PS2,Sports,EA Sports,9,4.91,3.98,0.01,0.26,0.66,2005-08-08,2005,8,8
Call of Duty: Black Ops IIII,XOne,Shooter,Activision,8,4.85,3.27,0.0,1.12,0.46,2018-10-12,2018,10,12
Assassin's Creed,PS3,Action,Ubisoft,8,4.83,1.91,0.09,2.01,0.82,2007-11-13,2007,11,13
Crash Bandicoot N. Sane Trilogy,PS4,Platform,Activision,6,4.83,1.09,0.07,2.92,0.74,2017-06-30,2017,6,30
Call of Duty: Infinite Warfare,XOne,Shooter,Activision,7,4.79,2.91,0.0,1.44,0.44,2016-11-04,2016,11,4
Crash Team Racing,PS,Racing,Sony Computer Entertainment,9,4.79,2.57,0.44,1.57,0.21,1999-09-30,1999,9,30
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,7,4.77,2.83,0.0,1.49,0.45,2007-11-06,2007,11,6
Batman: Arkham City,X360,Action,Warner Bros. Interactive,9,4.75,2.99,0.04,1.28,0.44,2011-10-18,2011,10,18
Driver 2,PS,Action,Atari,7,4.73,2.36,0.02,2.1,0.25,2000-11-13,2000,11,13
The Simpsons: Hit & Run,PS2,Racing,VU Games,7,4.7,1.73,0.0,2.19,0.79,2003-09-16,2003,9,16
Tony Hawk's Pro Skater 2,PS,Sports,Activision,9,4.68,3.05,0.02,1.41,0.2,2000-09-20,2000,9,20
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,8,4.67,1.94,0.08,1.95,0.7,2002-10-21,2002,10,21
Tomb Raider,PS,Action,Eidos Interactive,8,4.63,2.29,0.13,1.97,0.24,1996-11-14,1996,11,14
Forza Motorsport 4,X360,Racing,Microsoft Studios,9,4.6,2.08,0.06,1.98,0.49,2011-10-11,2011,10,11
Guitar Hero III: Legends of Rock,Wii,Misc,RedOctane,8,4.6,3.04,0.0,1.12,0.44,2007-10-28,2007,10,28
FIFA 15,PS3,Sports,EA Sports,6,4.56,0.59,0.04,3.25,0.68,2014-09-23,2014,9,23
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,6,4.54,1.87,0.22,1.97,0.48,2009-10-13,2009,10,13
Overwatch,PS4,Shooter,Blizzard Entertainment,8,4.54,1.84,0.17,1.8,0.73,2016-05-24,2016,5,24
Guitar Hero III: Legends of Rock,X360,Misc,RedOctane,8,4.53,3.19,0.01,0.91,0.42,2007-10-28,2007,10,28
Star Wars Battlefront II (2017),PS4,Shooter,Electronic Arts,8,4.53,1.7,0.12,1.99,0.73,2017-11-17,2017,11,17
Madden NFL 2005,PS2,Sports,EA Sports,9,4.53,4.18,0.01,0.26,0.08,2004-08-09,2004,8,9
Spider-Man: The Movie,PS2,Action,Activision,8,4.48,2.71,0.03,1.51,0.23,2002-04-15,2002,4,15
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,9,4.47,2.89,0.13,1.03,0.41,2009-07-07,2009,7,7
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,9,4.41,2.66,0.01,1.29,0.46,2001-10-28,2001,10,28
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,8,4.39,0.1,1.05,2.39,0.86,2007-02-06,2007,2,6
Tom Clancy's The Division,PS4,Shooter,Ubisoft,8,4.37,1.49,0.16,2.04,0.69,2016-03-08,2016,3,8
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,8,4.37,2.03,0.08,1.79,0.47,2005-11-15,2005,11,15
Michael Jackson: The Experience,Wii,Misc,Ubisoft,5,4.37,2.64,0.01,1.33,0.39,2010-11-23,2010,11,23
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,8,4.36,1.29,0.36,2.06,0.64,2015-12-01,2015,12,1
Call of Duty: Advanced Warfare,X360,Shooter,Activision,9,4.34,2.81,0.0,1.13,0.41,2014-11-04,2014,11,4
Watch Dogs,PS4,Action-Adventure,Ubisoft,8,4.32,1.4,0.11,2.13,0.68,2014-05-27,2014,5,27
Asteroids,2600,Shooter,Atari,5,4.31,4.0,0.0,0.26,0.05,1981-01-01,1981,1,1
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,9,4.28,2.26,0.07,1.33,0.63,2009-08-25,2009,8,25
Call of Duty: Advanced Warfare,PS3,Shooter,Activision,9,4.27,1.59,0.2,1.81,0.67,2014-11-04,2014,11,4
Namco Museum,GBA,Misc,Namco,5,4.24,3.0,0.05,1.11,0.07,2001-06-10,2001,6,10
Assassin's Creed: Revelations,PS3,Action,Ubisoft,8,4.23,1.41,0.1,2.03,0.69,2011-11-15,2011,11,15
Assassin's Creed: Revelations,X360,Action,Ubisoft,7,4.22,2.28,0.04,1.47,0.44,2011-11-15,2011,11,15
FIFA Soccer 06,PS2,Sports,EA Sports,8,4.21,0.78,0.04,2.55,0.84,2005-10-04,2005,10,4
Street Fighter IV,PS3,Fighting,Capcom,9,4.19,2.04,0.59,1.05,0.52,2009-02-17,2009,2,17
FIFA Soccer 12,X360,Sports,EA Sports,9,4.18,0.85,0.02,2.79,0.52,2011-09-27,2011,9,27
Call of Duty: Ghosts,PS4,Shooter,Activision,7,4.17,1.79,0.05,1.64,0.69,2013-11-15,2013,11,15
Teenage Mutant Ninja Turtles,NES,Platform,Ultra Games,5,4.17,3.38,0.31,0.44,0.04,1989-06-01,1989,6,1
Frogger,PS,Action,Hasbro Interactive,6,4.16,3.79,0.0,0.27,0.11,1997-09-30,1997,9,30
FIFA 14,X360,Sports,EA Sports,8,4.15,0.94,0.01,2.92,0.29,2013-09-24,2013,9,24
Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,6,4.15,2.49,0.02,1.26,0.38,2015-11-17,2015,11,17
Madden NFL 2003,PS2,Sports,EA Sports,9,4.14,3.36,0.01,0.21,0.56,2002-08-12,2002,8,12
Assassin's Creed: Unity,PS4,Action,Ubisoft,8,4.14,1.25,0.09,2.16,0.65,2014-11-11,2014,11,11
Destiny 2,PS4,Shooter,Activision,8,4.14,1.92,0.1,1.44,0.69,2017-09-06,2017,9,6
FIFA 07 Soccer,PS2,Sports,EA Sports,8,4.11,0.71,0.03,2.48,0.89,2006-10-03,2006,10,3
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,8,4.11,1.65,0.11,1.68,0.66,2015-06-23,2015,6,23
The Sims 4,PC,Simulation,Electronic Arts,7,4.1,1.2,0.0,2.6,0.3,2014-09-02,2014,9,2
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,8,4.08,2.67,0.04,1.03,0.34,2010-10-19,2010,10,19
Carnival Games,Wii,Misc,Global Star Software,4,4.06,2.12,0.05,1.47,0.42,2007-08-28,2007,8,28
Far Cry 4,PS4,Shooter,Ubisoft,8,4.06,1.18,0.11,2.14,0.63,2014-11-18,2014,11,18
Assassin's Creed Origins,PS4,Action,Ubisoft,8,4.06,1.22,0.11,2.11,0.63,2017-10-27,2017,10,27
World Soccer Winning Eleven 9,PS2,Sports,Konami,8,4.06,0.12,0.9,2.26,0.77,2006-02-07,2006,2,7
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,9,4.05,2.35,0.03,1.27,0.41,2007-05-29,2007,5,29
Namco Museum Vol.3,PS,Misc,Namco,7,4.05,2.28,0.16,1.55,0.06,1997-01-31,1997,1,31
Tekken Tag Tournament,PS2,Fighting,Namco,8,4.05,1.68,0.51,1.51,0.35,2000-10-25,2000,10,25
Fallout 3,PS3,Role-Playing,Bethesda Softworks,8,4.0,2.18,0.07,1.15,0.61,2008-10-28,2008,10,28
The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,9,3.99,1.18,0.0,2.25,0.56,2011-11-11,2011,11,11
NBA 2K16,PS4,Sports,2K Sports,8,3.98,2.56,0.05,0.66,0.71,2015-09-29,2015,9,29
Namco Museum: 50th Anniversary,PS2,Misc,Namco,7,3.98,2.08,0.0,1.35,0.54,2005-08-30,2005,8,30
Far Cry 5,PS4,Action,Ubisoft,7,3.95,1.44,0.15,1.73,0.62,2018-03-27,2018,3,27
Battlefield 4,PS4,Shooter,Electronic Arts,8,3.94,1.4,0.19,1.74,0.62,2013-11-15,2013,11,15
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,8,3.94,1.34,0.13,1.86,0.62,2013-10-29,2013,10,29
Tony Hawk's Underground,PS2,Sports,Activision,8,3.9,2.29,0.01,1.17,0.42,2003-10-27,2003,10,27
Just Dance 2014,Wii,Music,Ubisoft,7,3.89,1.91,0.0,1.66,0.33,2013-10-08,2013,10,8
Sports Champions,PS3,Sports,Sony Computer Entertainment,7,3.88,2.15,0.1,1.13,0.5,2010-09-17,2010,9,17
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,9,3.85,0.16,1.12,1.89,0.68,2005-02-01,2005,2,1
Namco Museum Vol.1,PS,Misc,Namco,7,3.84,2.12,0.22,1.44,0.06,1996-07-31,1996,7,31
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,7,3.76,2.4,0.0,1.01,0.36,2008-06-03,2008,6,3
The Sims: Unleashed,PC,Simulation,Electronic Arts,7,3.76,2.03,0.0,1.56,0.17,2002-09-23,2002,9,23
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,8,3.75,1.4,0.1,1.4,0.86,2007-02-13,2007,2,13
FIFA 17,XOne,Sports,Electronic Arts,8,3.71,1.04,0.0,2.4,0.27,2016-09-27,2016,9,27
FIFA Soccer 2005,PS2,Sports,EA Sports,8,3.7,0.58,0.04,2.48,0.59,2004-10-12,2004,10,12
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,9,3.67,2.13,0.01,1.18,0.35,2002-10-23,2002,10,23
